v1,v2
NORMAL,Burocrazia in Barcellona
NORMAL,back too work... ufff
NORMAL,Acquazzone monsonico a BCN... ed io con gli infradito       ...
NORMAL,La pioggia su BCN .
NORMAL,Du durù dudùuuuu 
NORMAL,Goodbye beautiful Budapest
NORMAL,"afternoon on the beach after work  Barcelona, where else?"
NORMAL,and the NEVER ending thesis 
NORMAL,Thesis delivered at my parents  place  a great moment 
NORMAL,Discussione della Tesi domani alle 16.30 in Bocconi aula N32  Tutti invitati  
NORMAL,Milano at Home sweet Home 
NORMAL,Fra 5 ore sarà tutto finito
NORMAL,Tomorrow Budapest 
NORMAL,...Tomorrow Geneva... A new start 
NORMAL,snow storm in Geneva
NORMAL,Dottore con lode e sotto la neve  WHAT ELSE? 
NORMAL,SNOW on Geneva
NORMAL,"has been asked by several friends about our trip plans.  We fly nonstop from Charlotte to Frankfurt.  Then we travel by train, Heidelberg, Wiesbaden, Mainz, Munich, castles, Zugspitze,  Rothenburg, back to Frankfurt and fly home."
NORMAL,"is home from Germany, had a good time ... tired"
NORMAL,starting to prepare for Summer Camp.
NORMAL,is off to Scout Camp  Old Indian in SC  for a week
NORMAL,is packing for Germany
NORMAL,PROPNAME
NORMAL,best wishes to everyone going back to school today
NORMAL,is heading off to the National Order of the Arrow Conference
NORMAL,is heading home
NORMAL,"appreciates all the kind birthday wishes, via facebook and various other forms of communication.  Thanks "
NORMAL,is teaching Troop Leadership Training today.
NORMAL,PROPNAME
NORMAL,PROPNAME
NORMAL,Merry Christmas everyone 
NORMAL,wishes everyone a Happy New Year 
NORMAL,is heading to San Antonio for the weekend
NORMAL,"Why does facebook think I live in Atlanta?  Something is wrong with the targeted ads.  It is comforting to know, however, that I could still become a police officer or save 83% on my insurance."
NORMAL,wishes the Boy Scouts of America a very Happy 100th Birthday today 
NORMAL,"I know many people have faced this issue before, but MIT Graduate Admissions should stop denying the existence of Caltech..."
NORMAL,"According to a certain oil gas industry recruiter, 3.4   3.0."
NORMAL,It s creepy how facebook suggests that a certain friend has too few friends.
NORMAL,It s really irksome when a grad school application recognizes  California Institute of Locksmithing  but not  California Institute of Technology. 
NORMAL,"Contra Costa County is now recruiting prison cooks at Caltech.  I didn t know they needed prison cooks that badly.  Besides, there s probably a 3.5 GPA requirement somewhere..."
NORMAL,"We consider a pure gas composed of rigid, nonattracting spherical molecules of diameter d and mass m, and the number density  number of molecules per unit volume  is taken to be n."
NORMAL,Apparently  California Institute of Technology  is too long a name for MIT Graduate Admissions.
NORMAL,"The moral of Ninja Assassins  if you re ever attacked by black pajama clad assassins, your only chance of survival is riding in a Volkswagen Eos."
NORMAL,just realized that it s cheaper to run his car on lard in Texas   6.22 gallon  than on diesel   6.77 gallon  in the UK.
NORMAL,I love how Techers are always tagged as  The Smart One. 
NORMAL,told the guy behind the fish counter to gut a catfish by mimicing longitudinal write slices.
NORMAL,Fun.baiting Russian trolls  > Fun.baiting generic trolls 
NORMAL,"What s this song I m hearing on the radio with sirens, screams and gunshots?  Oh right, it s  Santa Claus is Coming to Town. "
NORMAL,"Good thing Caltech doesn t have a front gate  otherwise, someone would write  Wirklichkeit Macht Frei  on top."
NORMAL,"My family now has 1 car person, down from 1.25 cars person."
NORMAL,"The AeroPress is back in business.  America, fuck yeah "
NORMAL,9 9.  Finally done.
NORMAL,PROPNAME
NORMAL,wonders why engineers are overrepresented in terrorist organizations.
NORMAL,"Mass Effect 2  It s nice to see that the Nigerian 419 scam is still going strong in 2184, this time with Batarians trying to recover quarantined Prothean artifacts."
NORMAL,I don t know why new car dealers in Houston insist on all season tires on all their products.  We have snow one day every 3 years 
NORMAL,"Note to  The Wildlife Fund   Fuck you, stop pestering me about your  500  donation  to my nonexistent  zoo ."
NORMAL,"Dear BioWare  Dragon Age is a wonderful and entertaining game, but epic fail on the load times.  At least make the wait entertaining.  Instead of blood tracks on a map  or awkward elevator rides , how about a 2D hack  n slash minigame?"
NORMAL,"Southern rap  oh, the amazing things you can do with a minimalist palette of shouts, chants, and grunts."
NORMAL,Stanford says no.   
NORMAL,thinks that it is impossible to be TOO heavenly minded. Watch. Those who are  too heavenly minded  will do the greatest good here.
NORMAL,A prospering tree does not eat it s own fruit. A prospering tree produces fruit that others might eat.
NORMAL, knowledge without repentance will be but a torch to light your way to hell 
NORMAL,"Hallelujah  Hallelujah  Holy  Holy  Are you Lord God almighty  Worthy is the Lamb, worthy is the Lamb that was slain  Unto you be all glory and honor and praise  May my life bring glory to your name   "
NORMAL,is praying hard to be just one who scatters seed on the earth.
NORMAL,wonders at the absolute absurdity of man s hatred...Christ summed up all the goodness we are capable of in two commands...none of us even follows just one of them.
NORMAL,"says happy fathers day  In honor of my heavenly Father, who s never forsaken me or let me down. May you ever be praised, Dad   "
NORMAL,PROPNAME
NORMAL,God is faithful to His word and to those to whom He has given it
NORMAL,"An awakening? Lord awaken the sleeper. Let our eyes burst open to the rising light of Your Spirit. Let Your mercy wash us and let Your holiness mold us into the image of Your Son. Break us with fire and build us from the ashes. Come to life you dry, old b"
NORMAL,"An awakening? Lord awaken the sleeper. Let our eyes burst open to the rising light of Your Spirit. Let Your mercy wash us and let Your holiness mold us into the image of Your Son. Break us with fire and build us from the ashes. Come to life you dry, old b"
NORMAL,"Whatever good I do comes not from me. Goodness is of God, and through me He chooses to make His power known. Thank You, Lord."
NORMAL,"is being conformed to the image of Christ. Do you want to be like Jesus? Then you must learn something...you must learn how to love someone who does not meet the conditions. It s not easy, but it s not impossible."
NORMAL,Lord let your glory fall as on that ancient day. Let it fall on both of them. Let your grace be made known eternally and mightily.
NORMAL,"When paul says  I can do all things through Christ who strengthens me ...I think,  I can do nothing without You, dear Jesus, who strengthens me "
NORMAL,hungers and thirsts for righteousness.
NORMAL,"Truly knows so little. Thank You, Oh Lord, that You are wise and You are mighty. Thank You, Lord, that Your grace knows no limits or bounds. I pray You re will be done here on earth as it is in heaven and that we give You glory with our lives."
NORMAL,is. Learning to be at peace and just be is harder than it should be   . Lord you are. You just ARE. Teach me to be like you. Teach me to be.
NORMAL,"will gladly boast in his weaknesses. When I am weak, then He is strong. Your might, oh Lord is endless. Please cover over me. Please cover over your beloved..Lest we  all fall in overwhelming shame under the weight of our imperfections."
